nome,qtd_cargos,qtd_mandatos
ALBERTINO NOBRE,4,2
ALFREDO MARTINS,4,2
ALMIR GUIMARAES,6,3
ANTONIO CARLOS FERNANDES,0,1
ANDRADE FIGUEIRA,1,2
ANTONIO SAMPAIO,8,3
ARNALDO MADEIRA,4,3
AURELINO DE ANDRADE,8,3
AVANIR DURAN GALHARDO,6,3
BRASIL VITA,16,5
CELSO MATSUDA,2,1
CLAUDIO BARROSO GOMES,2,1
EURIPEDES SALES,0,1
FRANCISCO BATISTA,6,2
GABRIEL ORTEGA,9,3
GETULIO HANASHIRO,0,1
GILBERTO NASCIMENTO,7,3
IREDE CARDOSO,4,2
JAMIL ACHOA,3,2
JOAO APARECIDO DE PAULA,2,2
JOAO CARLOS ALVES,4,2
JOOJI HATO,27,7
JOSE MARIA RODRIGUES ALVES,0,1
LUIZ TENORIO DE LIMA,2,1
LUIZA ERUNDINA,0,1
MARCOS MENDONCA,7,3
MARIO NODA,12,3
NELSON GUERRA,7,3
RICARDO TRIPOLI,0,1
TERCIO CHAGAS TOSTA,0,1
TEREZA CRISTINA DE SOUZA LAJOLO,7,4
WALTER FELDMAN,3,2
ALTINO LIMA,2,2
DALMO PESSOA,4,2
EDSON SIMOES,11,3
FRANCISCO GIMENEZ,0,1
IDA MARIA,0,2
LAURO FERRAZ,0,1
WADIH MUTRAN,28,8
ARNALDO ALVES,0,1
JOSE CACCIA,0,1
ANERCIDES VALENTE,0,1
ROBERTO TURQUETTI,0,1
JOSE ROBERTO MONACO,0,1
EDER JOFRE,9,4
OSVALDO GIANNOTTI,8,3
JUCELINO SILVA NETO,3,2
TERESINHA MARTINS,2,2
FRANCISCO BENEDITO FAZAN,0,1
OSVALDO FRISSELLI JUNIOR,0,1
JOSE VIVIANI FERRAZ,19,5
NAYLOR DE OLIVEIRA,0,2
GERALDO BLOTA,2,2
SERGIO TUFIK,0,1
EDGAR MARTINS,0,1
WLADEMIR MARCELLOS,0,1
PEDRO FERNANDES,0,1
ADRIANO DIOGO,12,4
ALDO REBELO,0,1
ANTONIO CARLOS CARUSO,4,2
ARSELINO TATTO,28,8
ANTONIO JOSE DA SILVA FILHO (BIRO-BIRO),2,1
BRUNO FEDER,7,3
CHICO WHITAKER,5,2
DEVANIR RIBEIRO,9,4
EDUARDO MATARAZZO SUPLICY,7,2
FAUSTO TOMAZ DE LIMA,3,2
GUILHERME GIANETTI,4,2
HENRIQUE PACHECO,10,3
ITALO CARDOSO,24,5
JOSE INDIO FERREIRA DO NASCIMENTO,7,3
JUAREZ SOARES,2,1
JULIO CESAR CALIGIURI,4,1
LIDIA CORREA,7,4
LUIZ CARLOS MOURA,1,1
MAURICIO FARIA,3,3
OSVALDO SANCHES,6,3
PAULO KOBAYASHI,6,2
PEDRO DALLARI,0,1
ROBERTO TRIPOLI,35,7
ROBSON TUMA,0,1
TITA DIAS,5,2
USHITARO KAMIA,20,6
VALFREDO FERREIRA SILVA,2,2
WALTER ABRAHAO,4,2
VITAL NOLASCO,8,3
ABEL FERREIRA CASTILHO,1,1
ALEX FREUA NETO,9,2
EDSON FALANGA,2,1
PAULO ROBERTO FARIA LIMA,9,4
GILSON BARRETO,43,8
MARCOS KERTZMANN,0,1
FERMINO FECHIO FILHO,3,1
ARMELINDO PASSONI,5,1
MAURO AILTON PUERRO,2,1
ALBERTO CALVO,3,2
JOSE DENYCIO PONTES AGOSTINHO,0,1
LUIZ PAULO GNECCO,5,1
PAULO FRATESCHI,2,1
ODILON GUEDES,5,4
ZULAIE COBRA RIBEIRO,1,1
NELSON GUIMARAES PROENCA,13,2
ANA MARTINS,16,3
JOSE MENTOR,7,3
ALDAIZA SPOSATI,15,3
SERGIO RICARDO SILVA ROSA,11,1
JOSE EDUARDO CARDOZO,9,3
NELO RODOLFO,13,3
MURILLO ANTUNES ALVES,2,1
DARCIO ARRUDA,2,1
ZENAS PIRES,6,1
ALBERTO HIAR,9,2
MARCOS CINTRA,6,2
EMILIO MENEGHINI,5,2
MARIO DIAS,11,4
EDIVALDO ESTIMA,21,4
MANOEL SALA,3,1
TONINHO PAIVA,37,7
GILBERTO KASSAB,1,1
